Author and Year,Chloropleth Map / Heatmap,Ball-and-Stick / Mesh,Isosurface / Streamlines,Volume / Images,Glyph,Animation,Color,Label,Bar Chart,Line Chart,Sequence,Pie Chart,Histogram,Scatterplot,Box-Plot,Graph-Based,SPLOM,PCP,Star-Plot,TreeMap
Rübel-2006,,,,,X,X,,,,,,,,,,,,X,,
Meyer-2010,,,,,X,,,,,X,,,,,,,,,,
de Leeuw-2006,,,,X,,,,,,,,,X,X,X,,,X,,
Oeltze 2011,,,,X,,,,,,,,,X,,,X,,,,
Grottel 2007,,,,,X,X,,,,X,,,,,,,,,,
Lindow-2012,,X,,,,X,,,,X,,,,,,,,,,
Parulek-2012,,X,X,X,,,,,,,,,,X,,,,,,
Patro-2011,,X,,,,,,,,,,,,,,X,,,,
Deheras-2013,,,,X,X,,,,,,,,,,,X,,,,
Strobelt-2012,,X,,,,,,,X,,,X,,,,,,,,
Lenz-2014,X,X,,,X,,,,,,,,,,,X,,,,
Doncheva-2014,,X,,,,,,,,,X,,,,,X,,,,
Mercer-2014,X,X,,,,,,,,,X,,X,,,,,,,
Luciani-2014,X,X,,,,,,,X,,X,,,,,,,,,
Stolte-2015,,X,,,,,,,,,X,,,,,,,,,
