Task,Engineering,GeoSpatial + Trajectories,Bioinformatics,BioMedical
Discover,0.9268292683,0.4833333333,0.4,0.5833333333
Present,0.0243902439,0.4666666667,0.1333333333,0.08333333333
Annotate,0.0487804878,0.08333333333,0,0.08333333333
Record,0,0.01666666667,0,0
Derive,0.1463414634,0.01666666667,0.2,0.08333333333
Browse,0.1219512195,0.2,0.1333333333,0.08333333333
Locate,0.487804878,0.2,0.4666666667,0.4583333333
Explore,0.7804878049,0.8,0.9333333333,0.8333333333
Lookup,0.2682926829,0.01666666667,0.06666666667,0.2083333333
Identify,0.7804878049,0.35,0.7333333333,0.625
Compare,0.5609756098,0.35,0.6666666667,0.6666666667
Summarize,0.8048780488,0.3333333333,0.4,0.5833333333
