Author and Year,Year,BibteX Entry,Paper,URL,Domain,Sub-Domain,#Users (single or multi),Single/MiXed EXpertise,Data Types,Tasks,Interaction Patterns,Device Constraints,Overlays or Linked Views,Number of Overlays,Encodings,"Evaluation type (e.g., case study)",Users,
Mehta-2006,2006,See bibteX,Visual EXploration of Spatio-temporal Relationships for Scientific Data,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4035742,Engineering,General,Single,MiXed,Field / Network / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Linked Views,1,See Encodings,User Study,Vizards,
Seipel-2006,2006,See bibteX,Enhanced Visualizations of Thermographic Data in Process Industry.,http://www.researchgate.net/profile/Stefan_Seipel/publication/220778398_Enhanced_Visualizations_of_Thermographic_Data_in_Process_Industry/links/02e7e516fdc53878f1000000.pdf,Engineering,Physics,Multi,Single,Table / Geometric,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,User Study,Domain,
Shi-2006,2006,See bibteX,Path Line Oriented Topology for Periodic 2D Time-Dependent Vector Fields,https://people.mpi-inf.mpg.de/~weinkauf/publications/documents/shi06a.pdf,Engineering,Physics,Single,MiXed,Field / Network / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Overlays,1,See Encodings,User Study,Vizards,
Theron-2006,2006,See bibteX,Visual Analytics of Paleoceanographic Conditions,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4035743,Engineering,Physical Science (Paleoceanography),Multi,MiXed,Table / Field / Geomotry,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,2,See Encodings,Cast Study,Vizards,
Akiba-2006,2006,See Chihua bibteX,Simultaneous Classification of Time-Varying Volume Data Based on the Time Histogram,http://web.cs.ucdavis.edu/~ma/papers/EuroVis06_Akiba.pdf,Engineering,Physics,Single,MiXed,Table / Field,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Cast Study,Vizards,
Anderson-2007,2007,See bibteX,Feature Identification and EXtraction in Function Fields,http://citeseerX.ist.psu.edu/viewdoc/download?doi=10.1.1.454.1427&rep=rep1&type=pdf,Engineering,General,Multi,MiXed,Table / Field / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,Laptop,Overlays,1,See Encodings,Case Study,Domain,
Broersen-2007,2007,See bibteX,Parametric Visualization of High Resolution Correlated Multi-spectral Features Using PCA,http://homepages.cwi.nl/~robertl/papers/2007/egvis/paper.pdf,Engineering,Physics,Single,Multi,Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Overlays,1,See Encodings,Quantified Analysis,Domain,
Bürger-2007,2007,See bibteX,Integrating Local Feature Detectors in the Interactive Visual Analysis of Flow Simulation Data,https://www.cg.tuwien.ac.at/research/publications/2007/Buerger-2007-eurovis/Buerger-2007-eurovis-Paper.pdf,Engineering,Physics,Single,MiXed,Field ,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,2,See Encodings,Case Study,Vizards,
Caban-2007,2007,See BibteX,TeXture-based Feature Tracking for Effective Time-varying Data Visualization,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=4376176,Engineering,Physics,Single,MiXed,Field,See Tasks Sheet,See Interaction Patterns Sheet,,Overlays,2,See Encodings,Case Study,Vizards,
Li-2007,2007,See BibteX,Visualizing Large-scale Uncertainty in Astrophysical data,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=4376197,Engineering,Astronomy,Single,MiXed,Tables / Fields / Geometry ,See Tasks Sheet,See Interaction Patterns Sheet,,Overlays,3,See Encodings,User Study / Case Study,Domain,
