0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Author and Year,URL,Year,Chloropleth Map / Heatmap,Volume / Images,Isosurface / Streamlines,Ball and Stake / Mesh,Glyph,Animation,Other,Color,Line Chart,Histogram,Scatterplot,Node-link Diagram / Graph,Parallel Coordinate Plot,Star Coordinates
Mehta-2006,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4035742,2006,,,,X,,,,,,,,X,,
Seipel-2006,http://www.researchgate.net/profile/Stefan_Seipel/publication/220778398_Enhanced_Visualizations_of_Thermographic_Data_in_Process_Industry/links/02e7e516fdc53878f1000000.pdf,2006,,,,X,,,,X,,,,,,
Shi-2006,https://people.mpi-inf.mpg.de/~weinkauf/publications/documents/shi06a.pdf,2006,,,,X,,,,X,,,,X,,
Theron-2006,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4035743,2006,X,,,,,X,,X,X,,X,,X,
Akiba-2006,http://web.cs.ucdavis.edu/~ma/papers/EuroVis06_Akiba.pdf,2006,,X,,,,,,X,,X,,,,
Anderson-2007,http://citeseerX.ist.psu.edu/viewdoc/download?doi=10.1.1.454.1427&rep=rep1&type=pdf,2007,X,X,,,,,,X,,,,,,
Broersen-2007,http://homepages.cwi.nl/~robertl/papers/2007/egvis/paper.pdf,2007,X,,X,,,,,X,,,,,,
Bürger-2007,https://www.cg.tuwien.ac.at/research/publications/2007/Buerger-2007-eurovis/Buerger-2007-eurovis-Paper.pdf,2007,,X,,,,,,X,,X,X,,,
Caban 2007,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=4376176,2007,,X,X,,,X,,X,,,,,,
Li 2007,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=4376197,2007,X,,,X,X,,,X,,,,,,
Akiba-2007,http://citeseerX.ist.psu.edu/viewdoc/download?doi=10.1.1.92.7428&rep=rep1&type=pdf,2007,,X,X,,,,,X,,X,,,X,
Blass 2008,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=4658160,2008,,,X,,,,,X,,X,,,X,
Schneider 2008,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=4658165,2008,,,X,,,,,X,,,,X,,
Wang 2008,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=4658174,2008,X,X,,,,X,,X,,X,,,,
Muigg-2008,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2008.01207.X/epdf,2008,,X,,,,,,X,,,,X,,
Valle-2008,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4677351,2008,X,,,X,,,,X,X,,X,,,
Anderson-2009,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2009.01480.X/epdf,2009,X,,,,,,,X,,,,,,
Lampe 2009,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?arnumber=5290734,2009,X,X,X,,,,,X,X,,,,,
Schultz-2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2009.01675.X/epdf,2010,,,,,X,,,X,,,,,,
