,,Brushing and Linking,Focus+Context,Details on Demand,Semanic Zoom,Non-interactive,,Vizards,Dom,,,,,
Andrienko-2007 (published in Journay 2008),http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388995,X,,,,,,X,,,,,,
Andrienko-2010(EuroVis),http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2009.01664.x/epdf,,,X,,,,X,,,,,,
Andrienko-2010(VAST),http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652478,,,X,,,,X,,,,,,
Bertini-2007,http://www.dis.uniroma1.it/~santucci/VisDis/Papers/Eurovis07.pdf,,,,,X,,X,,,,,,
Butkiewicz-2008,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2008.01223.x/epdf,,,X,,,,,X,,,,,
Butkiewicz-2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2009.01707.x/epdf,,X,,,,,,X,,,,,
Eccles-2007 (published in Journay 2008),http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388992,X,,,,,,,X,,,,,
Eick-2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388996,X,,,,,,X,,,,,,
Han-2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5332596,X,,,,,,X,X,(Vizards are domain expert),,,,
Kapler-2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677355,,,X,,,,,X,,,,,
Maciejewski-2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388993,,,X,,,,X,X,(Vizards are domain expert),,,,
Maciejewski-2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677354,,,X,,,,X,,No eval,,,,
Pan-2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388991,,,,,X,,X,,No eval,,,,
Quan-2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5332610,X,,X,,,,,X,,,,,
Wang-2008,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2008.01225.x/epdf,X,,X,,,,,X,,,,,
Weaver-2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035745,X,,,,,,,X,,,,,
Weaver-2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677370,,X,X,,,,,X,,,,,
Kothur 2014,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6876007,,,X,,,,,X,,,,,
Lu 2015,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192705&isnumber=4359476,,,X,,,,,X,,,,,
Chen 2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102490,,,X,,,,X,,,,,,
Cenydd 2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102489,,,X,,,,X,,,,,,
Bosch 2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102488&tag=1,X,,,,,,X,,,,,,
Boone 2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102486&tag=1,,,X,,,,X,,,,,,
Banfi 2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102485,X,,,,,,X,,,,,,
Rothenberger 2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102482,,X,X,,,,,X,,,,,
Peca 2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102479,,,X,,,,X,,,,,,
Hao 2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102472,,,X,,,,X,,,,,,
MacEachren 2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102456,,,X,,,,X,,,,,,
Alam 2015,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12647/epdf,,,,,X,,X,,,,,,
Cano 2015,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12648/epdf,,,,,X,,X,,,,,,
Diehl 2015,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12650/epdf,,,X,,,,,X,,,,,
Mahsa Mirzargar 2014,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6875964,,,,,X,,,X,,,,,
Florian Ferstl 2015,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7192675,,,,,X,,X,,,,,,
Panse-2006,http://kops.uni-konstanz.de/bitstream/handle/123456789/5443/InfoVis2006pm_carto_panse_sips_keim_north_169_4tvcg.pdf?sequence=1,,,,,X,,X,,,,,,
Chang-2007,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4376137,,,X,,,,,X,,,,,
Butkiewicz 2008,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4658126,,,X,,,,,X,,,Year,Vizards,Domain
Guo-2009,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=5290710,,,X,,,,X,,,,2006,4,1
Turkay-2014,10.1109/TVCG.2014.2346265,X,,X,,,,X,,,,2007,6,3
Lanir 2014,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12382/epdf,,,,,X,,,X,,,2008,2,6
Pike-2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677366,,,X,,,,X,,,,2009,2,2
Tomaszewski-2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652895,X,,X,,,,,X,,,2010,4,2
Mehler-2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.129.9774&rep=rep1&type=pdf,,,,,X,,X,,,,2011,8,2
Dykes-2007,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4376135,,,,,X,,X,,,,2012,1,2
Dork-2008,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4658131,X,,X,,,,,X,,,2013,1,0
Speckman-2010,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=5613424,,,,,X,,X,,,,2014,1,4
Ferreira-2011,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6065004,,,X,,,,,X,,,2015,3,2
Accorsi 2014,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7042488,,,X,,,,,X,,,,,
Afzal-2012,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6327261,,,,,X,,,X,,,,,
Lins-2013,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6634137,,,X,,,,X,,,,,,
TOTAL,,12,3,29,0,12,0,28,23,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
