Andrienko-2007 (published in Journay 2008),Visual Analytics Approach to User-Controlled Evacuation Scheduling,See bibtex,Transportation-planning,Urban,Single,Mixed,Geospatial/heterogeneous objects(people and vehicles),Geometry,Explore,,Overlays/Linked Views ,Bar Charts/Gantt Charts/Matrix/Color,Case Study/Scenario,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388995,2,,,,,,,,"This paper proposes a visualization suite to support the emergency evacuation of people from disaster areas. A stacked bar chart is used to display the evacuation situation over time, a map reports the nearest vehicles suitable to evacuate different people with different needs. A Gantt chart is used to display an evacuation overview over the time, and lastly a matrix visualization is used to see the number of trips between pairs of locations. The tool also automatically calculates a suitable plan using genetic algorithms, the fine tuning and confirmation are left to the user."
Andrienko-2010(EuroVis),"Space-in-Time and Time-in-Space Self-Organizing Maps for
Exploring Spatiotemporal Patterns",See bibtex,Geospatial/Crime,Urban,no user? (the authors are the users),,Spatiotemporal Data,Geospatial Fields,Explore/ Compare,,Overlays/Linked Views,Cartographic/Bar Charts/Matrix/Time Graph(Line/Area)/Color,Application (Case Study),,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2009.01664.x/epdf,,,,,,Details On Demand,,,"This paper proposes a visualization tool to help exploring spatial attributes changing over time. The result is achieved through the use of linked views in combination with overlays on maps and through a method called “Self-Organizing Map"". The main visualization is composed by two maps with overlays: the first one shows space-in-time SOM (grouping of spatial situations) while the second one shows a time-in-space SOM. The comparison between these two visualizations helps the user to discover interesting patterns. Other visualizations and more detailed SOM can be visualized as details on demand."
Andrienko-2010(VAST),Discovering Bits of Place Histories from People's Activity Traces.,See bibtex,Events (Phone Calls/Flickr Photos),Media Analysis,no user? (the authors are the users),,"Geospatial (Activity Data: phone calling, photo taking, message posting, etc)",Geometry,Explore/ Identify,,Overlays/Linked Views,Time Graph(Line/Area)/Periodicity Chart/Color,Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652478,,,,,,Details On Demand,,,"This paper proposes a series of visual analytics methods to discover important events from activity traces such as geotagged photos or phone calls. Using statistical methods is easy to find exceptional patterns in this type of data: if there are way more phones than usual in a specific region that means some sort of event is going on there. These statistical anomalies are then overlaid over a map to show them spatially. Through the use of linked views more detailed line charts are linked to the map, showing the data in detail."
Bertini-2007,See what you know: analyzing data distribution to improve density map visualization,See bibtex,Density Map,Cartography,no user? (the authors are the users),,Density Distribution (Mail Parcels),Geospatial Fields,Compare/ Explore,,Overlays,Pixel-based/Color,Case Study,,http://www.dis.uniroma1.it/~santucci/VisDis/Papers/Eurovis07.pdf,,,,,,,,,"This paper proposes new techniques to draw density heatmaps. Analyzing the data distribution before plotting, these techniques enable the visualization to choose a more appropriate color scale, that better reflects the differences in density."
Butkiewicz-2008,"Visual Analysis and Semantic Exploration of Urban LIDAR
Change Detection",See bibtex,Urban/Geospatial,Urban,Multi (~40 attendees in a conference for professional GIS users),Mixed,GIS Data,Geometry,Explore,,Overlays/Linked Views,Color/Heat Map,User feedback (qualitative),,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2008.01223.x/epdf,,,,,,,,,"This paper presents an algorithm and a visualization tool. The algorithm detect changes in urban LIDAR point clouds in a novel way: analyzing the point cloud directly as a 3D volume without reducing its dimensionality. The output is shown as an overlay on a 3- Dimensional map. They also provide a tool to create an heatmap of the changes, providing a less detailed but more understandable overview."
Butkiewicz-2010,Alleviating The Modifiable Areal Unit Problem within Probe-Based Geospatial Analyses,See bibtex,Urban/Geospatial,Urban,,Mixed,GIS Data,Geometry,Compare,,Overlays/Linked Views,Pie Chart/Line/Area Graph/Color,Scenario,,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2009.01707.x/epdf,,,,,,,,,"This paper presents a probe-based visualization for urban growth data. The focus of the visualization is the comparison between areas that can be selected on a map. the comparison can be made using the graphs that are linked to the main view. The novel method presented is a solution to the Modifiable Areal Unit Problem: when the user tries to compare very different areas, the system alerts him and, through the use of some semi-automated tools, helps him correcting the selected regions in order to make a fair comparison."
Eccles-2007 (published in Journay 2008),Stories in GeoTime,See bibtex,Events,Media Analysis,Single,Mixed,Geo-temporal Data,Geometry,Produce/ Explore/ Annotate,,Overlays/Linked Views,,Informal User feedback,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388992,,,,,,,,,"This paper presents a visualization tool to enable sense-making in spatial data by the construction of a story. The data is visualized as a trajectory overlaid over a map, the user can create a story with it through the use of colors and labels."
Eick-2007,Thin Client Visualization,See bibtex,Geospatial,Geospatial,Single,Mixed,Geospatial Data,Geometry,Explore/ Annotate,,Overlays/Linked Views,Graph/Tree Visualization/Map/Timeline/Pie chart/Hierarchy,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388996,,,,,,,,,"This paper presents a web-based framework called GeoBoost that provides geospatial visualization on the browser. The framework make use of both linked view and overlays on a map, all the most famous charts are available"
Han-2009,A Visual Analytics System for Radio Frequency Fingerprinting-based Localization,See bibtex,Localization,,,,Indoor GPS singals (radio frequency),Spatial Fields,Explore/ Compare/ Identify,,Overlays/Linked Views,Parallel Coordinates/Color,Scenario,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5332596,,,,,,,,,"This paper proposes a visualization tool intended to help the user choose the proper fingerprints to use for indoor radio frequency based localization. The visualization is composed by a map, on which are spatially overlaid the strength of each detected radio signal. Once a fingerprint is chosen using the linked tables, the system performs a classification simulation and shows which areas are misclassified. A parallel coordinates graph is also linked to the view, to show the temporal and spatial stability of given feature values."
Kapler-2008,Configurable Spaces: Temporal Analysis in Diagrammatic Contexts,See bibtex,Diagrammatic Contexts,Media Analysis,Multi (three analysts: experieced and novice),,Geo-Temporal Data,Geometry,Produce,,Overlays/Linked Views,Network Visualization/others...,User Study/Feedback,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677355,,,,,,Details On Demand,,,"This paper introduces geotime, a system for analysis of events and transaction in time and space. The novel idea is to overlay the flow of events over a map, while the time component is plotted on the third dimension as a height over the map. The system also utilizes linked views to show additional details on some part of the flow, that may have been abstracted on the map."
Maciejewski-2007,LAHVA: Linked Animal-Human Health Visual Analytics,See bibtex,Medicine (human emergency room data and veterinary hospital data),Epidemiology,,,Geospatial temporal Data,Geometry,Explore,,Overlays/Linked Views,Shape/Color/TImeline Graph,Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388993,,,,,,,,,"LAHVA is a system that tries to combine animal and human health data to identify correlations and patterns in disease spread. The visualization itself is a map with overlays that represent the data set, linked with line charts that can help the user to visualize the similarities. The biggest part of the job is done in the statistical analysis."
